province,party,months_before,cpi_category,vote_share_2019,vote_share_2021,delta_vote_share,cpi_change
Alberta,Animal Protection Party of Canada/Le Parti pour la Protection des Animaux du Canada,3,All-items,0.0001185812,0.0000000000,-0.0001185812,7.400000

Alberta,Animal Protection Party of Canada/Le Parti pour la Protection des Animaux du Canada,3,Food,0.0001185812,0.0000000000,-0.0001185812,7.766667

Alberta,Animal Protection Party of Canada/Le Parti pour la Protection des Animaux du Canada,6,All-items,0.0001185812,0.0000000000,-0.0001185812,6.183333

Alberta,Animal Protection Party of Canada/Le Parti pour la Protection des Animaux du Canada,6,Food,0.0001185812,0.0000000000,-0.0001185812,7.500000

Alberta,Animal Protection Party of Canada/Le Parti pour la Protection des Animaux du Canada,12,All-items,0.0001185812,0.0000000000,-0.0001185812,5.091667

Alberta,Animal Protection Party of Canada/Le Parti pour la Protection des Animaux du Canada,12,Food,0.0001185812,0.0000000000,-0.0001185812,7.300000

Alberta,Animal Protection Party of Canada/Le Parti pour la Protection des Animaux du Canada,24,All-items,0.0001185812,0.0000000000,-0.0001185812,4.587500

Alberta,Animal Protection Party of Canada/Le Parti pour la Protection des Animaux du Canada,24,Food,0.0001185812,0.0000000000,-0.0001185812,8.225000

British Columbia,Animal Protection Party of Canada/Le Parti pour la Protection des Animaux du Canada,3,All-items,0.0003690162,0.0001205519,-0.0002484643,4.833333

British Columbia,Animal Protection Party of Canada/Le Parti pour la Protection des Animaux du Canada,3,Food,0.0003690162,0.0001205519,-0.0002484643,6.666667

British Columbia,Animal Protection Party of Canada/Le Parti pour la Protection des Animaux du Canada,6,All-items,0.0003690162,0.0001205519,-0.0002484643,4.083333

British Columbia,Animal Protection Party of Canada/Le Parti pour la Protection des Animaux du Canada,6,Food,0.0003690162,0.0001205519,-0.0002484643,6.650000

British Columbia,Animal Protection Party of Canada/Le Parti pour la Protection des Animaux du Canada,12,All-items,0.0003690162,0.0001205519,-0.0002484643,3.950000

British Columbia,Animal Protection Party of Canada/Le Parti pour la Protection des Animaux du Canada,12,Food,0.0003690162,0.0001205519,-0.0002484643,7.016667

British Columbia,Animal Protection Party of Canada/Le Parti pour la Protection des Animaux du Canada,24,All-items,0.0003690162,0.0001205519,-0.0002484643,4.137500

British Columbia,Animal Protection Party of Canada/Le Parti pour la Protection des Animaux du Canada,24,Food,0.0003690162,0.0001205519,-0.0002484643,8.179167

Newfoundland and Labrador,Bloc QuΘbΘcois/Bloc QuΘbΘcois,3,All-items,0.0000000000,0.0000000000,0.0000000000,6.200000

Newfoundland and Labrador,Bloc QuΘbΘcois/Bloc QuΘbΘcois,3,Food,0.0000000000,0.0000000000,0.0000000000,6.733333

Newfoundland and Labrador,Bloc QuΘbΘcois/Bloc QuΘbΘcois,6,All-items,0.0000000000,0.0000000000,0.0000000000,5.216667

Newfoundland and Labrador,Bloc QuΘbΘcois/Bloc QuΘbΘcois,6,Food,0.0000000000,0.0000000000,0.0000000000,5.683333

Newfoundland and Labrador,Bloc QuΘbΘcois/Bloc QuΘbΘcois,12,All-items,0.0000000000,0.0000000000,0.0000000000,4.308333

Newfoundland and Labrador,Bloc QuΘbΘcois/Bloc QuΘbΘcois,12,Food,0.0000000000,0.0000000000,0.0000000000,5.233333

Newfoundland and Labrador,Bloc QuΘbΘcois/Bloc QuΘbΘcois,24,All-items,0.0000000000,0.0000000000,0.0000000000,2.933333

Newfoundland and Labrador,Bloc QuΘbΘcois/Bloc QuΘbΘcois,24,Food,0.0000000000,0.0000000000,0.0000000000,4.979167

Prince Edward Island,Bloc QuΘbΘcois/Bloc QuΘbΘcois,3,All-items,0.0000000000,0.0000000000,0.0000000000,8.366667

Prince Edward Island,Bloc QuΘbΘcois/Bloc QuΘbΘcois,3,Food,0.0000000000,0.0000000000,0.0000000000,10.966667

Prince Edward Island,Bloc QuΘbΘcois/Bloc QuΘbΘcois,6,All-items,0.0000000000,0.0000000000,0.0000000000,6.933333

Prince Edward Island,Bloc QuΘbΘcois/Bloc QuΘbΘcois,6,Food,0.0000000000,0.0000000000,0.0000000000,10.366667

Prince Edward Island,Bloc QuΘbΘcois/Bloc QuΘbΘcois,12,All-items,0.0000000000,0.0000000000,0.0000000000,5.183333

Prince Edward Island,Bloc QuΘbΘcois/Bloc QuΘbΘcois,12,Food,0.0000000000,0.0000000000,0.0000000000,10.333333

Prince Edward Island,Bloc QuΘbΘcois/Bloc QuΘbΘcois,24,All-items,0.0000000000,0.0000000000,0.0000000000,3.570833

Prince Edward Island,Bloc QuΘbΘcois/Bloc QuΘbΘcois,24,Food,0.0000000000,0.0000000000,0.0000000000,10.537500

Nova Scotia,Bloc QuΘbΘcois/Bloc QuΘbΘcois,3,All-items,0.0000000000,0.0000000000,0.0000000000,6.166667

Nova Scotia,Bloc QuΘbΘcois/Bloc QuΘbΘcois,3,Food,0.0000000000,0.0000000000,0.0000000000,8.066667

Nova Scotia,Bloc QuΘbΘcois/Bloc QuΘbΘcois,6,All-items,0.0000000000,0.0000000000,0.0000000000,5.566667

Nova Scotia,Bloc QuΘbΘcois/Bloc QuΘbΘcois,6,Food,0.0000000000,0.0000000000,0.0000000000,7.366667

Nova Scotia,Bloc QuΘbΘcois/Bloc QuΘbΘcois,12,All-items,0.0000000000,0.0000000000,0.0000000000,4.725000

Nova Scotia,Bloc QuΘbΘcois/Bloc QuΘbΘcois,12,Food,0.0000000000,0.0000000000,0.0000000000,7.091667

Nova Scotia,Bloc QuΘbΘcois/Bloc QuΘbΘcois,24,All-items,0.0000000000,0.0000000000,0.0000000000,3.779167

Nova Scotia,Bloc QuΘbΘcois/Bloc QuΘbΘcois,24,Food,0.0000000000,0.0000000000,0.0000000000,7.441667

New Brunswick,Bloc QuΘbΘcois/Bloc QuΘbΘcois,3,All-items,0.0000000000,0.0000000000,0.0000000000,6.000000

New Brunswick,Bloc QuΘbΘcois/Bloc QuΘbΘcois,3,Food,0.0000000000,0.0000000000,0.0000000000,10.033333

New Brunswick,Bloc QuΘbΘcois/Bloc QuΘbΘcois,6,All-items,0.0000000000,0.0000000000,0.0000000000,5.183333

