province,year,months_before,cpi_category,cpi_yoy_avg,quarters_before,naics,vacancy_rate_avg,turnout,rejected_rate,valid_rate,electors,total_ballots_cast,valid_ballots,rejected_ballots
Manitoba,2019,6,Food,148.266667,2,"Total, all industries",2.550000,0.64269146,0.00630707,0.99369293,927347,595998,592239,3759

Manitoba,2019,6,Food,148.266667,4,"Total, all industries",2.525000,0.64269146,0.00630707,0.99369293,927347,595998,592239,3759

Manitoba,2019,12,All-items,136.291667,1,"Total, all industries",2.500000,0.64269146,0.00630707,0.99369293,927347,595998,592239,3759

Manitoba,2019,12,All-items,136.291667,2,"Total, all industries",2.550000,0.64269146,0.00630707,0.99369293,927347,595998,592239,3759

Manitoba,2019,12,All-items,136.291667,4,"Total, all industries",2.525000,0.64269146,0.00630707,0.99369293,927347,595998,592239,3759

Manitoba,2019,12,Food,147.516667,1,"Total, all industries",2.500000,0.64269146,0.00630707,0.99369293,927347,595998,592239,3759

Manitoba,2019,12,Food,147.516667,2,"Total, all industries",2.550000,0.64269146,0.00630707,0.99369293,927347,595998,592239,3759

Manitoba,2019,12,Food,147.516667,4,"Total, all industries",2.525000,0.64269146,0.00630707,0.99369293,927347,595998,592239,3759

Manitoba,2019,24,All-items,134.829167,1,"Total, all industries",2.500000,0.64269146,0.00630707,0.99369293,927347,595998,592239,3759

Manitoba,2019,24,All-items,134.829167,2,"Total, all industries",2.550000,0.64269146,0.00630707,0.99369293,927347,595998,592239,3759

Manitoba,2019,24,All-items,134.829167,4,"Total, all industries",2.525000,0.64269146,0.00630707,0.99369293,927347,595998,592239,3759

Manitoba,2019,24,Food,145.337500,1,"Total, all industries",2.500000,0.64269146,0.00630707,0.99369293,927347,595998,592239,3759

Manitoba,2019,24,Food,145.337500,2,"Total, all industries",2.550000,0.64269146,0.00630707,0.99369293,927347,595998,592239,3759

Manitoba,2019,24,Food,145.337500,4,"Total, all industries",2.525000,0.64269146,0.00630707,0.99369293,927347,595998,592239,3759

Manitoba,2021,3,All-items,143.200000,1,"Total, all industries",4.100000,0.61976636,0.00763015,0.99236985,931927,577577,573170,4407

Manitoba,2021,3,All-items,143.200000,2,"Total, all industries",3.900000,0.61976636,0.00763015,0.99236985,931927,577577,573170,4407

Manitoba,2021,3,All-items,143.200000,4,"Total, all industries",3.525000,0.61976636,0.00763015,0.99236985,931927,577577,573170,4407

Manitoba,2021,3,Food,154.033333,1,"Total, all industries",4.100000,0.61976636,0.00763015,0.99236985,931927,577577,573170,4407

Manitoba,2021,3,Food,154.033333,2,"Total, all industries",3.900000,0.61976636,0.00763015,0.99236985,931927,577577,573170,4407

Manitoba,2021,3,Food,154.033333,4,"Total, all industries",3.525000,0.61976636,0.00763015,0.99236985,931927,577577,573170,4407

Manitoba,2021,6,All-items,142.266667,1,"Total, all industries",4.100000,0.61976636,0.00763015,0.99236985,931927,577577,573170,4407

Manitoba,2021,6,All-items,142.266667,2,"Total, all industries",3.900000,0.61976636,0.00763015,0.99236985,931927,577577,573170,4407

Manitoba,2021,6,All-items,142.266667,4,"Total, all industries",3.525000,0.61976636,0.00763015,0.99236985,931927,577577,573170,4407

Manitoba,2021,6,Food,153.316667,1,"Total, all industries",4.100000,0.61976636,0.00763015,0.99236985,931927,577577,573170,4407

Manitoba,2021,6,Food,153.316667,2,"Total, all industries",3.900000,0.61976636,0.00763015,0.99236985,931927,577577,573170,4407

Manitoba,2021,6,Food,153.316667,4,"Total, all industries",3.525000,0.61976636,0.00763015,0.99236985,931927,577577,573170,4407

Manitoba,2021,12,All-items,140.383333,1,"Total, all industries",4.100000,0.61976636,0.00763015,0.99236985,931927,577577,573170,4407

Manitoba,2021,12,All-items,140.383333,2,"Total, all industries",3.900000,0.61976636,0.00763015,0.99236985,931927,577577,573170,4407

Manitoba,2021,12,All-items,140.383333,4,"Total, all industries",3.525000,0.61976636,0.00763015,0.99236985,931927,577577,573170,4407

Manitoba,2021,12,Food,152.566667,1,"Total, all industries",4.100000,0.61976636,0.00763015,0.99236985,931927,577577,573170,4407

Manitoba,2021,12,Food,152.566667,2,"Total, all industries",3.900000,0.61976636,0.00763015,0.99236985,931927,577577,573170,4407

Manitoba,2021,12,Food,152.566667,4,"Total, all industries",3.525000,0.61976636,0.00763015,0.99236985,931927,577577,573170,4407

Manitoba,2021,24,All-items,138.920833,1,"Total, all industries",4.100000,0.61976636,0.00763015,0.99236985,931927,577577,573170,4407

Manitoba,2021,24,All-items,138.920833,2,"Total, all industries",3.900000,0.61976636,0.00763015,0.99236985,931927,577577,573170,4407

Manitoba,2021,24,All-items,138.920833,4,"Total, all industries",3.525000,0.61976636,0.00763015,0.99236985,931927,577577,573170,4407

Manitoba,2021,24,Food,151.412500,1,"Total, all industries",4.100000,0.61976636,0.00763015,0.99236985,931927,577577,573170,4407

Manitoba,2021,24,Food,151.412500,2,"Total, all industries",3.900000,0.61976636,0.00763015,0.99236985,931927,577577,573170,4407

Manitoba,2021,24,Food,151.412500,4,"Total, all industries",3.525000,0.61976636,0.00763015,0.99236985,931927,577577,573170,4407

New Brunswick,2019,3,All-items,136.933333,1,"Total, all industries",2.900000,0.72053368,0.01023054,0.98976946,616704,444356,439810,4546

New Brunswick,2019,3,All-items,136.933333,2,"Total, all industries",3.000000,0.72053368,0.01023054,0.98976946,616704,444356,439810,4546

New Brunswick,2019,3,All-items,136.933333,4,"Total, all industries",2.975000,0.72053368,0.01023054,0.98976946,616704,444356,439810,4546

New Brunswick,2019,3,Food,156.366667,1,"Total, all industries",2.900000,0.72053368,0.01023054,0.98976946,616704,444356,439810,4546

